"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"T20060021443","53088","2410"
"T20060021449","56049","100504"
"T20060021458","29502","100450"
"T20060021460","42474","6411"
"T20060021467","16750","7554"
"T20060021468","37063","5948"
"T20060021586","957","7360"
"T20060021604","37855","9253"
"T20060021631","42746","6610"
"T20060021672","55706","4024"
"T20060021701","35627","6975"
"T20060021742","35416","5740"
"T20060021811","43027","6714"
"T20060021837","43517","7301"
"T20060021838","47518","100509"
"T20060021870","42515","6409"
"T20060021912","53513","1286"
"T20060021913","33879","1002"
"T20060021932","29945","7723"
"T20060021943","1161","9972"
"T20060021968","33702","5907"
"T20060021985","42750","6641"
"T20060022051","49997","7732"
"T20060022127","29773","7461"
"T20060022138","29893","9581"
"T20060022184","260","103330"
"T20060022235","40158","5814"
"T20060022246","204654","9764"
"T20060022267","44796","1429"
"T20060022268","260","103330"
"T20060022334","41896","5955"
"T20060022347","43857","7150"
"T20060022398","204677","6575"
"T20060022415","37274","8622"
"T20060022442","30110","4085"
"T20060022469","43531","7321"
"T20060022553","35740","9736"
"T20060022586","41453","6193"
"T20060022677","39813","5334"
"T20060022690","43584","7434"
"T20060022718","55714","6208"
"T20060022765","46716","6195"
"T20060022820","45642","9463"
"T20060022829","167","8695"
"T20060022842","73150","1316"
"T20060022860","55719","7137"
"T20060022873","35862","8869"
"T20060022891","35304","9569"
"T20060022929","39580","9088"
"T20060022931","40914","5910"
"T20060022961","54453","9737"
"T20060022996","35737","7079"
"T20060023005","1254","4195"
"T20060023048","43027","6714"
"T20060023057","52225","1264"
"T20060023076","57648","7293"
"T20060023083","41039","5908"
"T20060023093","43061","6817"
"T20060023130","29813","9381"
"T20060023135","635","5681"
"T20060023137","10919","7248"
"T20060023158","35970","101145"
"T20060023196","55721","9137"
"T20060023231","41007","5866"
"T20060023354","40490","103203"
"T20060023391","29726","6880"
"T20060023400","29726","6880"
"T20060023406","15405","7722"
"T20060023434","49975","7726"
"T20060023446","54089","6465"
"T20060023562","29618","5794"
"T20060023593","54466","1298"
"T20060023657","38437","5099"
"T20060023663","37155","9936"
"T20060023698","40426","5848"
"T20060023728","55730","6861"
"T20060023756","39411","5476"
"T20060023762","43633","6885"
"T20060023767","49729","7642"
"T20060023784","29486","9261"
"T20060023800","42320","6438"
"T20060023808","55791","6593"
"T20060023820","36230","9612"
"T20060023834","211932","5632"
"T20060023850","39815","100576"
"T20060023860","44633","9239"
"T20060023924","29746","6961"
"T20060023960","42467","6465"
"T20060023981","57539","6041"
"T20060024029","43632","6987"
"T20060024060","43046","6747"
"T20060024104","29867","5441"
"T20060024207","29672","6258"
"T20060024258","713","6297"
"T20060024318","40650","5741"
"T20060024417","44014","7513"
"T20060024419","38572","8912"
"T20060024427","249","9716"
"T20060024470","43655","7024"
"T20060024484","47857","6115"
"T20060024496","35662","8609"
"T20060024506","50370","8038"
"T20060024534","43444","7274"
"T20060024550","53382","2356"
"T20060024619","43857","7150"
"T20060024668","29549","5439"
"T20060024703","43632","6987"
"T20060024748","944","7316"
"T20060024781","36782","6943"
"T20060024878","29651","103334"
"T20060024884","40679","9188"
"T20060024890","37496","5208"
"T20060024934","55755","6492"
"T20060025010","44660","8935"
"T20060025094","713","6297"
"T20060025132","10475","1028"
"T20060025185","58925","3083"
"T20060025228","35429","5109"
"T20060025262","41749","6007"
"T20060025299","36340","9064"
"T20060025316","37894","9298"
"T20060025368","38295","5146"
"T20060025389","876","6678"
"T20060025442","795","6354"
"T20060025461","35619","6760"
"T20060025462","35304","9569"
"T20060025488","42805","6766"
"T20060025524","48129","101015"
"T20060025556","42538","6485"
"T20060025617","57408","9307"
"T20060025628","35345","6889"
"T20060025695","40134","100509"
"T20060025706","41965","6078"
"T20060025726","39679","5573"
"T20060025754","29746","6961"
"T20060025784","46837","5703"
"T20060025795","45906","9971"
"T20060025855","42065","9145"
"T20060025868","35740","9736"
"T20060025918","38098","9292"
"T20060025967","949","7337"
"T20060026015","42452","6367"
"T20060026026","45130","9434"
"T20060026030","504","5504"
"T20060026143","47550","7439"
"T20060026191","55756","101545"
"T20060026206","56226","101992"
"T20060026276","478","5381"
"T20060026293","36797","8610"
"T20060026297","33879","1002"
"T20060026326","44986","9273"
"T20060026391","53892","7667"
"T20060026463","49695","1027"
"T20060026472","39281","5543"
"T20060026513","876","6678"
"T20060026523","43855","7123"
"T20060026539","49750","7656"
"T20060026543","54191","9732"
"T20060026566","19433","103100"
"T20060026572","54721","8039"
"T20060026588","40650","5741"
"T20060026613","533","9051"
"T20060026625","52110","1193"
"T20060026713","38499","9703"
"T20060026736","41824","5945"
"T20060026739","534","5396"
"T20060026791","33879","1002"
"T20060026799","42659","6497"
"T20060026843","45413","9338"
"T20060026860","29893","9581"
"T20060026891","323","102169"
"T20060026977","37170","9745"
"T20060027056","55780","5324"
"T20060027161","35641","7300"
"T20060027197","42752","6728"
"T20060027215","42466","6393"
"T20060027221","53061","100489"
"T20060027233","36982","9767"
"T20060027237","35387","9754"
"T20060027257","239301","9999"
"T20060027359","42197","6549"
"T20060027453","41878","6311"
"T20060027493","55789","4282"
"T20060027531","55790","100555"
"T20060027660","49826","103315"
"T20060027663","35315","6779"
"T20060027680","37788","5660"
"T20060027694","39715","5253"
"T20060027747","38206","8870"
"T20060027748","38220","8685"
"T20060027757","57530","5920"
"T20060027836","48218","100071"
"T20060027850","35308","9579"
"T20060027883","40895","5733"
"T20060027922","35646","8527"
"T20060027950","11083","5950"
"T20060027988","276","9998"
"T20060027994","410","9282"
"T20060028020","36448","6968"
"T20060028086","48329","5325"
"T20060028137","43096","6606"
"T20060028175","50223","7838"
"T20060028179","50154","7800"
"T20060028190","37894","9298"
"T20060028230","246","9676"
"T20060028278","793","1000"
"T20060028304","29716","6824"
"T20060028360","998","8809"
"T20060028398","40868","5641"
"T20060028519","925","9238"
"T20060028526","35697","9473"
"T20060028615","46521","5209"
"T20060028616","44463","7723"
"T20060028642","29978","4185"
"T20060028682","48134","103234"
"T20060028685","35387","9754"
"T20060028695","36083","9500"
"T20060028740","119","9806"
"T20060028753","44222","8634"
"T20060028803","47013","6112"
"T20060028807","676","8731"
"T20060028808","47029","9687"
"T20060028826","41888","6123"
"T20060028831","40866","5630"
"T20060028838","55819","1192"
"T20060028854","39558","5448"
"T20060028892","35714","9430"
"T20060028919","29386","9497"
"T20060028963","50981","100209"
"T20060028993","43147","6685"
"T20060029068","39553","5416"
"T20060029110","50643","8011"
"T20060029134","29746","6961"
"T20060029189","36749","8787"
"T20060029284","127","9034"
"T20060029291","45906","9971"
"T20060029390","44630","4212"
"T20060029399","41116","9926"
"T20060029400","50214","7830"
"T20060029421","205590","5404"
"T20060029433","39281","5543"
"T20060029444","29396","100875"
"T20060029482","35778","1028"
"T20060029487","42658","6571"
"T20060029531","39605","5466"
"T20060029546","4383","5074"
